,Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Kecepatan angin rata-rata (m/s),Label,season_Musim Hujan
0,2008-01-01,22.0,27.8,24.4,96.0,14.5,0.0,2.0,1.0,0,1
1,2008-01-02,22.0,25.7,23.8,94.0,82.1,0.0,3.0,1.0,0,1
2,2008-01-03,22.0,26.4,24.3,90.0,19.7,0.0,3.0,0.0,0,1
3,2008-01-04,22.0,27.1,23.6,94.0,32.5,0.0,1.0,2.0,0,1
4,2008-01-05,22.0,30.3,25.5,80.0,12.0,5.3,5.0,0.0,0,1
5,2008-01-06,20.0,31.4,25.4,75.0,0.2,7.4,2.0,2.0,0,1
6,2008-01-07,21.0,31.5,25.7,81.0,0.0,4.3,2.0,2.0,0,1
7,2008-01-08,21.0,32.5,25.1,84.0,0.2,6.8,2.0,1.0,0,1
8,2008-01-09,21.0,33.1,26.0,76.0,5.2,8.0,3.0,1.0,0,1
9,2008-01-10,22.0,32.7,26.3,76.0,0.0,7.2,2.0,1.0,0,1
10,2008-01-11,24.0,33.8,26.7,84.0,9.8,6.6,5.0,1.0,0,1
11,2008-01-12,22.0,32.2,26.3,76.0,0.0,6.2,2.0,1.0,0,1
12,2008-01-13,21.0,32.6,25.6,81.0,0.0,5.4,2.0,1.0,0,1
13,2008-01-14,22.0,30.4,25.5,85.0,0.0,3.1,1.0,1.0,0,1
14,2008-01-15,22.0,29.1,24.6,91.0,2.6,2.0,1.0,1.0,0,1
15,2008-01-16,23.0,29.5,25.7,86.0,2.4,3.1,4.0,0.0,0,1
16,2008-01-17,22.0,31.9,25.9,84.0,4.5,5.0,3.0,1.0,0,1
17,2008-01-18,21.0,32.6,25.9,82.0,0.0,7.0,4.0,1.0,0,1
18,2008-01-19,21.0,31.8,25.6,81.0,0.0,5.1,5.0,2.0,0,1
19,2008-01-20,21.0,32.2,26.0,80.0,0.0,6.4,4.0,1.0,0,1
20,2008-01-21,21.0,32.6,25.5,82.0,0.0,5.6,2.0,1.0,0,1
21,2008-01-22,22.0,32.7,27.0,78.0,0.0,7.8,3.0,1.0,0,1
22,2008-01-23,22.0,31.0,25.8,88.0,26.5,3.7,2.0,2.0,0,1
23,2008-01-24,22.0,31.6,26.5,84.0,0.0,5.9,2.0,0.0,0,1
24,2008-01-25,23.0,33.2,27.2,79.0,0.0,7.8,2.0,0.0,0,1
25,2008-01-26,24.0,32.2,26.8,86.0,14.0,6.9,2.0,1.0,0,1
26,2008-01-27,23.0,32.2,26.6,85.0,10.0,7.2,4.0,1.0,0,1
27,2008-01-28,23.0,31.6,26.1,88.0,0.0,4.7,3.0,1.0,0,1
28,2008-01-29,23.0,31.7,25.5,90.0,3.6,5.4,3.0,1.0,0,1
29,2008-01-30,22.0,30.7,25.1,92.0,16.0,3.8,3.0,1.0,0,1
30,2008-01-31,24.0,30.8,26.0,88.0,4.8,2.8,2.0,0.0,0,1
31,2008-02-01,23.0,24.6,23.1,99.0,32.0,0.0,2.0,1.0,0,1
32,2008-02-02,22.0,30.6,25.5,88.0,75.5,3.7,3.0,0.0,0,1
33,2008-02-03,21.0,30.0,25.2,82.0,11.1,4.4,5.0,1.0,0,1
34,2008-02-04,22.0,31.6,26.3,77.0,0.2,6.6,4.0,2.0,0,1
35,2008-02-05,23.0,31.1,25.9,83.0,6.0,7.7,3.0,2.0,0,1
36,2008-02-06,23.0,30.0,25.6,88.0,0.5,3.9,2.0,1.0,0,1
37,2008-02-07,23.0,29.6,26.1,85.0,4.5,2.5,3.0,1.0,0,1
38,2008-02-08,23.0,27.4,24.3,94.0,3.2,0.0,2.0,2.0,0,1
39,2008-02-09,23.0,28.2,24.1,90.0,25.0,0.4,8.0,1.0,0,1
40,2008-02-10,22.0,26.1,23.8,95.0,7.9,0.0,2.0,1.0,0,1
41,2008-02-11,22.0,27.1,24.1,90.0,16.5,0.0,3.0,1.0,0,1
42,2008-02-12,22.0,27.3,23.5,92.0,7.2,0.0,0.0,0.0,0,1
43,2008-02-13,22.0,26.4,23.5,90.0,15.2,0.4,2.0,0.0,0,1
44,2008-02-14,22.0,26.2,23.4,93.0,4.6,0.0,2.0,1.0,0,1
45,2008-02-15,21.0,27.2,23.3,96.0,27.6,0.0,0.0,1.0,0,1
46,2008-02-16,21.0,28.2,24.2,89.0,10.5,0.8,3.0,0.0,0,1
47,2008-02-17,22.0,28.3,25.0,92.0,1.5,0.5,3.0,0.0,0,1
48,2008-02-18,23.0,28.0,24.1,94.0,23.5,1.6,0.0,0.0,0,1
49,2008-02-19,22.0,28.0,24.7,88.0,24.0,0.1,3.0,1.0,0,1
50,2008-02-20,21.0,28.2,24.7,89.0,3.4,0.7,2.0,1.0,0,1
51,2008-02-21,23.0,26.9,24.0,94.0,9.3,0.0,1.0,1.0,0,1
52,2008-02-22,22.0,25.4,23.7,92.0,12.6,0.0,3.0,1.0,0,1
53,2008-02-23,22.0,26.8,23.8,91.0,7.7,0.1,2.0,1.0,0,1
54,2008-02-24,22.0,29.7,24.1,90.0,2.0,4.4,6.0,1.0,0,1
55,2008-02-25,23.0,27.7,24.8,90.0,4.3,0.0,2.0,2.0,0,1
56,2008-02-26,22.0,26.6,23.6,95.0,1.8,0.0,0.0,1.0,0,1
57,2008-02-27,21.0,29.7,25.1,84.0,39.0,3.8,2.0,0.0,0,1
58,2008-02-28,22.0,29.9,25.3,88.0,0.2,0.6,0.0,1.0,0,1
59,2008-02-29,23.0,27.9,24.6,84.0,7.7,0.3,3.0,1.0,0,1
60,2008-03-01,22.0,30.2,25.6,82.0,0.3,2.7,0.0,1.0,0,1
61,2008-03-02,22.0,30.8,25.1,86.0,0.0,4.7,1.0,0.0,0,1
62,2008-03-03,22.0,28.7,24.5,90.0,3.4,1.8,3.0,1.0,0,1
63,2008-03-04,22.0,27.6,24.5,87.0,6.6,1.9,4.0,1.0,0,1
64,2008-03-05,22.0,30.3,24.4,85.0,0.0,3.4,3.0,2.0,0,1
65,2008-03-06,21.0,29.6,24.0,90.0,13.8,3.5,3.0,1.0,0,1
66,2008-03-07,22.0,32.0,24.7,90.0,40.5,4.8,8.0,1.0,0,1
67,2008-03-08,22.0,30.0,24.8,92.0,54.7,1.3,2.0,1.0,0,1
68,2008-03-09,23.0,31.4,25.7,88.0,0.1,5.2,3.0,0.0,0,1
69,2008-03-10,22.0,30.7,24.9,88.0,38.3,5.1,0.0,1.0,0,1
70,2008-03-11,22.0,31.4,25.2,89.0,43.2,5.6,1.0,0.0,0,1
71,2008-03-12,22.0,31.9,24.7,88.0,23.6,6.8,3.0,1.0,0,1
72,2008-03-13,21.0,31.6,24.2,90.0,104.5,4.7,3.0,1.0,0,1
73,2008-03-14,21.0,31.0,24.2,92.0,18.6,5.6,2.0,0.0,0,1
74,2008-03-15,22.0,30.6,24.5,91.0,28.6,4.0,2.0,0.0,0,1
75,2008-03-16,22.0,30.5,24.5,90.0,45.5,5.5,3.0,0.0,0,1
76,2008-03-17,22.0,31.1,24.9,90.0,75.8,4.9,3.0,1.0,0,1
77,2008-03-18,21.0,31.8,24.4,90.0,59.3,5.8,3.0,1.0,0,1
78,2008-03-19,21.0,31.9,24.5,89.0,23.1,5.4,2.0,1.0,0,1
79,2008-03-20,22.0,30.3,25.0,93.0,10.7,3.6,0.0,0.0,0,1
80,2008-03-21,22.0,30.8,25.2,90.0,8.5,2.9,2.0,0.0,0,1
